pillar,column,label,representation,tier,n,r2_baseline,lift
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_thin,mid,265,0.3442024649251172,-0.0002274620059592447
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_thin,rich,332,0.26651077653114286,0.0005738025027721694
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_thin_l2,thin,384,0.44222403687214984,-0.00019314439974382758
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_thin_l2,mid,265,0.3442024649251172,1.8418289811417132e-05
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_thin_l2,rich,332,0.26651077653114286,0.0005315781012189547
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_mid,thin,384,0.44222403687214984,0.0018527755108804778
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_mid,mid,265,0.3442024649251172,-0.00736602916061968
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_mid,rich,332,0.26651077653114286,0.002643007269658826
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_mid_l2,thin,384,0.44222403687214984,0.0031633035765458173
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_mid_l2,mid,265,0.3442024649251172,-0.006753866297166677
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_mid_l2,rich,332,0.26651077653114286,-5.133447896199517e-05
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_rich,thin,384,0.44222403687214984,0.0008672962445547272
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_rich,mid,265,0.3442024649251172,-0.002687640368857158
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_rich,rich,332,0.26651077653114286,-0.002221125277615754
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_rich_l2,thin,384,0.44222403687214984,0.0003901672417876423
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_rich_l2,mid,265,0.3442024649251172,-0.0030923930747580597
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_rich_l2,rich,332,0.26651077653114286,-0.0017840023548449935
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",typed_sections,thin,384,0.44222403687214984,-1.0326975379282288e-06
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",typed_sections,mid,265,0.3442024649251172,-1.5516637796864075e-06
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",typed_sections,rich,332,0.26651077653114286,-1.014914045016635e-05
B,lq_emp_22,Utilities LQ,lead_only,thin,510,0.08969672578294807,-0.00015794541853397792
B,lq_emp_22,Utilities LQ,lead_only,mid,389,0.06547663867756404,0.000772013117479653
B,lq_emp_22,Utilities LQ,lead_only,rich,437,0.013926190247157244,0.00011257488736560184
B,lq_emp_22,Utilities LQ,lead_only_pca64,thin,510,0.08969672578294807,-0.0001775777384470656
B,lq_emp_22,Utilities LQ,lead_only_pca64,mid,389,0.06547663867756404,0.0006144800397189787
B,lq_emp_22,Utilities LQ,lead_only_pca64,rich,437,0.013926190247157244,9.804071179408957e-05
B,lq_emp_22,Utilities LQ,lead_only_l2,thin,510,0.08969672578294807,-4.8398122906134766e-05
B,lq_emp_22,Utilities LQ,lead_only_l2,mid,389,0.06547663867756404,0.0008463518039567575
B,lq_emp_22,Utilities LQ,lead_only_l2,rich,437,0.013926190247157244,-3.980735843156502e-05
B,lq_emp_22,Utilities LQ,uniform,thin,510,0.08969672578294807,0.00025555569109303455
B,lq_emp_22,Utilities LQ,uniform,mid,389,0.06547663867756404,-5.387619139829436e-05
B,lq_emp_22,Utilities LQ,uniform,rich,437,0.013926190247157244,-0.00015956317442589185
B,lq_emp_22,Utilities LQ,uniform_pca64,thin,510,0.08969672578294807,0.00023077869585041988
B,lq_emp_22,Utilities LQ,uniform_pca64,mid,389,0.06547663867756404,-1.769424409903131e-05
B,lq_emp_22,Utilities LQ,uniform_pca64,rich,437,0.013926190247157244,-0.00013982327792561033
B,lq_emp_22,Utilities LQ,uniform_l2,thin,510,0.08969672578294807,0.00015360234695538377
B,lq_emp_22,Utilities LQ,uniform_l2,mid,389,0.06547663867756404,0.0014283804733284944
B,lq_emp_22,Utilities LQ,uniform_l2,rich,437,0.013926190247157244,-0.00026980447780977634
B,lq_emp_22,Utilities LQ,tier_conditional,thin,510,0.08969672578294807,-0.00028684972392689634
B,lq_emp_22,Utilities LQ,tier_conditional,mid,389,0.06547663867756404,0.0020088934722964913
B,lq_emp_22,Utilities LQ,tier_conditional,rich,437,0.013926190247157244,0.0008535676260840175
B,lq_emp_22,Utilities LQ,tier_conditional_pca64,thin,510,0.08969672578294807,-0.00026676272356840336
B,lq_emp_22,Utilities LQ,tier_conditional_pca64,mid,389,0.06547663867756404,0.0018992810983220476
B,lq_emp_22,Utilities LQ,tier_conditional_pca64,rich,437,0.013926190247157244,0.0009064410756745023
B,lq_emp_22,Utilities LQ,tier_conditional_l2,thin,510,0.08969672578294807,-0.00046366970222744275
B,lq_emp_22,Utilities LQ,tier_conditional_l2,mid,389,0.06547663867756404,0.0015022381568304821
B,lq_emp_22,Utilities LQ,tier_conditional_l2,rich,437,0.013926190247157244,8.934556232009783e-05
B,lq_emp_22,Utilities LQ,tier_conditional_inverse,thin,510,0.08969672578294807,3.8633611301519544e-05
B,lq_emp_22,Utilities LQ,tier_conditional_inverse,mid,389,0.06547663867756404,0.0006421447007822767
B,lq_emp_22,Utilities LQ,tier_conditional_inverse,rich,437,0.013926190247157244,-0.0002488050351234783
B,lq_emp_22,Utilities LQ,tier_conditional_inverse_pca64,thin,510,0.08969672578294807,4.176867544425367e-05
B,lq_emp_22,Utilities LQ,tier_conditional_inverse_pca64,mid,389,0.06547663867756404,0.0006633062867791306
B,lq_emp_22,Utilities LQ,tier_conditional_inverse_pca64,rich,437,0.013926190247157244,-0.0002333156546904247
B,lq_emp_22,Utilities LQ,tier_conditional_inverse_l2,thin,510,0.08969672578294807,0.0002535487368605649
B,lq_emp_22,Utilities LQ,tier_conditional_inverse_l2,mid,389,0.06547663867756404,0.0012488841419941998
B,lq_emp_22,Utilities LQ,tier_conditional_inverse_l2,rich,437,0.013926190247157244,-0.0005669286642765448
B,lq_emp_22,Utilities LQ,drop_stub,thin,510,0.08969672578294807,0.000188776181824446
B,lq_emp_22,Utilities LQ,drop_stub,mid,389,0.06547663867756404,-8.134955989735904e-05
B,lq_emp_22,Utilities LQ,drop_stub,rich,437,0.013926190247157244,-0.0001353646931796515
B,lq_emp_22,Utilities LQ,drop_stub_l2,thin,510,0.08969672578294807,0.00019783100042891633
B,lq_emp_22,Utilities LQ,drop_stub_l2,mid,389,0.06547663867756404,-9.25032374283763e-05
B,lq_emp_22,Utilities LQ,drop_stub_l2,rich,437,0.013926190247157244,-0.0001448799699890202
B,lq_emp_22,Utilities LQ,drop_thin,thin,510,0.08969672578294807,-8.047175042558141e-05
B,lq_emp_22,Utilities LQ,drop_thin,mid,389,0.06547663867756404,0.00014079257710619686
B,lq_emp_22,Utilities LQ,drop_thin,rich,437,0.013926190247157244,-0.00010147856259079546
B,lq_emp_22,Utilities LQ,drop_thin_l2,thin,510,0.08969672578294807,-0.00017405858670282992
B,lq_emp_22,Utilities LQ,drop_thin_l2,mid,389,0.06547663867756404,0.0024351976021762534
B,lq_emp_22,Utilities LQ,drop_thin_l2,rich,437,0.013926190247157244,-0.0009427755203134103
B,lq_emp_22,Utilities LQ,drop_mid,thin,510,0.08969672578294807,0.0002506294787170127
B,lq_emp_22,Utilities LQ,drop_mid,mid,389,0.06547663867756404,0.0010049432468908215
B,lq_emp_22,Utilities LQ,drop_mid,rich,437,0.013926190247157244,-7.39062279138114e-05
B,lq_emp_22,Utilities LQ,drop_mid_l2,thin,510,0.08969672578294807,0.00034626550905214604
B,lq_emp_22,Utilities LQ,drop_mid_l2,mid,389,0.06547663867756404,0.0012466603463919812
B,lq_emp_22,Utilities LQ,drop_mid_l2,rich,437,0.013926190247157244,-7.512896411987491e-05
B,lq_emp_22,Utilities LQ,drop_rich,thin,510,0.08969672578294807,0.00039736256491984534
B,lq_emp_22,Utilities LQ,drop_rich,mid,389,0.06547663867756404,0.0015597188501483839
B,lq_emp_22,Utilities LQ,drop_rich,rich,437,0.013926190247157244,0.0008123566512767688
B,lq_emp_22,Utilities LQ,drop_rich_l2,thin,510,0.08969672578294807,-5.3666981111422096e-05
B,lq_emp_22,Utilities LQ,drop_rich_l2,mid,389,0.06547663867756404,0.0008216058737320342
B,lq_emp_22,Utilities LQ,drop_rich_l2,rich,437,0.013926190247157244,4.1425466263178556e-05
B,lq_emp_22,Utilities LQ,typed_sections,thin,510,0.08969672578294807,-5.171389375502322e-05
B,lq_emp_22,Utilities LQ,typed_sections,mid,389,0.06547663867756404,-0.0016471735595445791
