target,label,representation,n,n_columns,r2_reduced,r2_reduced_geo,r2_full,contribution,contribution_geo,reduced_r2_negative,excluded
poverty_rate,share below the poverty line,minilm_uniform_ccr_pca29,3144,29,0.6366152552346701,0.6301048084184189,0.6379477702249892,0.0013325149903190558,0.007842961806570292,False,False
poverty_rate,share below the poverty line,minilm_prose_plus_history_ccr_pca29,3144,29,0.6366152552346701,0.6301048084184189,0.6357083478769907,-0.0009069073576793985,0.005603539458571838,False,False
family_household_share,family-household share,typed,3144,29,0.23886563015256979,0.24652412050041472,0.25182908256273606,0.012963452410166276,0.005304962062321339,False,False
family_household_share,family-household share,typed_transformed,3144,37,0.23886563015256979,0.24652412050041472,0.25198842165565094,0.013122791503081155,0.0054643011552362175,False,False
family_household_share,family-household share,latlong_only,3144,2,0.23886563015256979,0.24652412050041472,0.24652412050041472,0.007658490347844937,0.0,False,False
family_household_share,family-household share,minilm_uniform,3144,384,0.23886563015256979,0.24652412050041472,0.23689393700037964,-0.001971693152190146,-0.009630183500035083,False,False
family_household_share,family-household share,minilm_uniform_l2,3144,384,0.23886563015256979,0.24652412050041472,0.24558063729843116,0.006715007145861374,-0.0009434832019835637,False,False
family_household_share,family-household share,minilm_uniform_pca29,3144,29,0.23886563015256979,0.24652412050041472,0.24009827936857708,0.0012326492160072977,-0.00642584113183764,False,False
family_household_share,family-household share,minilm_uniform_pca64,3144,64,0.23886563015256979,0.24652412050041472,0.24747195130285693,0.008606321150287144,0.0009478308024422066,False,False
family_household_share,family-household share,minilm_uniform_ccr_pca29,3144,29,0.23886563015256979,0.24652412050041472,0.24476596649628657,0.005900336343716783,-0.001758154004128154,False,False
family_household_share,family-household share,minilm_prose_plus_history_ccr_pca29,3144,29,0.23886563015256979,0.24652412050041472,0.25266637663250446,0.013800746479934678,0.006142256132089741,False,False
single_unit_share,single-unit detached housing share,typed,3144,29,0.37982404184812113,0.36694130646790846,0.40433915159153366,0.024515109743412533,0.037397845123625206,False,False
single_unit_share,single-unit detached housing share,typed_transformed,3144,37,0.37982404184812113,0.36694130646790846,0.4036187302083103,0.023794688360189165,0.03667742374040184,False,False
single_unit_share,single-unit detached housing share,latlong_only,3144,2,0.37982404184812113,0.36694130646790846,0.36694130646790846,-0.012882735380212673,0.0,False,False
single_unit_share,single-unit detached housing share,minilm_uniform,3144,384,0.37982404184812113,0.36694130646790846,0.3820361441868271,0.0022121023387059457,0.015094837718918619,False,False
single_unit_share,single-unit detached housing share,minilm_uniform_l2,3144,384,0.37982404184812113,0.36694130646790846,0.3930325785019493,0.013208536653828151,0.026091272034040824,False,False
single_unit_share,single-unit detached housing share,minilm_uniform_pca29,3144,29,0.37982404184812113,0.36694130646790846,0.4046595706748297,0.024835528826708586,0.03771826420692126,False,False
single_unit_share,single-unit detached housing share,minilm_uniform_pca64,3144,64,0.37982404184812113,0.36694130646790846,0.4048725171772529,0.025048475329131792,0.037931210709344465,False,False
single_unit_share,single-unit detached housing share,minilm_uniform_ccr_pca29,3144,29,0.37982404184812113,0.36694130646790846,0.404564757273587,0.024740715425465853,0.03762345080567853,False,False
single_unit_share,single-unit detached housing share,minilm_prose_plus_history_ccr_pca29,3144,29,0.37982404184812113,0.36694130646790846,0.39165947213973773,0.0118354302916166,0.024718165671829273,False,False
bachelors_share,"bachelor's degree share, age 25+",typed,3144,29,0.755379900622863,0.7518936837326424,0.7561514210197782,0.0007715203969151929,0.004257737287135743,False,False
bachelors_share,"bachelor's degree share, age 25+",typed_transformed,3144,37,0.755379900622863,0.7518936837326424,0.7563793838545991,0.0009994832317361535,0.004485700121956704,False,False
bachelors_share,"bachelor's degree share, age 25+",latlong_only,3144,2,0.755379900622863,0.7518936837326424,0.7518936837326424,-0.0034862168902205504,0.0,False,False
bachelors_share,"bachelor's degree share, age 25+",minilm_uniform,3144,384,0.755379900622863,0.7518936837326424,0.7379933552800833,-0.017386545342779725,-0.013900328452559174,False,False
bachelors_share,"bachelor's degree share, age 25+",minilm_uniform_l2,3144,384,0.755379900622863,0.7518936837326424,0.7381126344027054,-0.017267266220157618,-0.013781049329937067,False,False
bachelors_share,"bachelor's degree share, age 25+",minilm_uniform_pca29,3144,29,0.755379900622863,0.7518936837326424,0.7558684234849145,0.000488522862051477,0.003974739752272027,False,False
bachelors_share,"bachelor's degree share, age 25+",minilm_uniform_pca64,3144,64,0.755379900622863,0.7518936837326424,0.7482302856781613,-0.007149614944701677,-0.003663398054481126,False,False
bachelors_share,"bachelor's degree share, age 25+",minilm_uniform_ccr_pca29,3144,29,0.755379900622863,0.7518936837326424,0.7562062013990705,0.0008263007762074892,0.00431251766642804,False,False
bachelors_share,"bachelor's degree share, age 25+",minilm_prose_plus_history_ccr_pca29,3144,29,0.755379900622863,0.7518936837326424,0.7493714952835553,-0.0060084053393076875,-0.002522188449087137,False,False
masters_share,"master's degree share, age 25+",typed,3144,29,0.6856417212057961,0.6918000337507773,0.68500519887132,-0.0006365223344760862,-0.006794834879457201,False,False
masters_share,"master's degree share, age 25+",typed_transformed,3144,37,0.6856417212057961,0.6918000337507773,0.690363856169534,0.004722134963737856,-0.0014361775812432587,False,False
masters_share,"master's degree share, age 25+",latlong_only,3144,2,0.6856417212057961,0.6918000337507773,0.6918000337507773,0.006158312544981115,0.0,False,False
masters_share,"master's degree share, age 25+",minilm_uniform,3144,384,0.6856417212057961,0.6918000337507773,0.6648471343139819,-0.020794586891814237,-0.026952899436795352,False,False
masters_share,"master's degree share, age 25+",minilm_uniform_l2,3144,384,0.6856417212057961,0.6918000337507773,0.6662044461840162,-0.019437275021779943,-0.025595587566761058,False,False
masters_share,"master's degree share, age 25+",minilm_uniform_pca29,3144,29,0.6856417212057961,0.6918000337507773,0.6862473009756591,0.0006055797698629739,-0.005552732775118141,False,False
masters_share,"master's degree share, age 25+",minilm_uniform_pca64,3144,64,0.6856417212057961,0.6918000337507773,0.6818359753509731,-0.0038057458548230727,-0.009964058399804188,False,False
masters_share,"master's degree share, age 25+",minilm_uniform_ccr_pca29,3144,29,0.6856417212057961,0.6918000337507773,0.692193552798098,0.006551831592301882,0.00039351904732076726,False,False
masters_share,"master's degree share, age 25+",minilm_prose_plus_history_ccr_pca29,3144,29,0.6856417212057961,0.6918000337507773,0.680117716137514,-0.005524005068282101,-0.011682317613263216,False,False
labor_force_participation,labour force participation rate,typed,3144,29,0.6131169607678233,0.6527764080477247,0.6116513015037712,-0.001465659264052066,-0.041125106543953516,False,False
labor_force_participation,labour force participation rate,typed_transformed,3144,37,0.6131169607678233,0.6527764080477247,0.6086540529742197,-0.004462907793603588,-0.04412235507350504,False,False
labor_force_participation,labour force participation rate,latlong_only,3144,2,0.6131169607678233,0.6527764080477247,0.6527764080477247,0.03965944727990145,0.0,False,False
labor_force_participation,labour force participation rate,minilm_uniform,3144,384,0.6131169607678233,0.6527764080477247,0.5945322349284212,-0.018584725839402072,-0.05824417311930352,False,False
