pillar,column,variant,tier,n,r2_baseline,lift
B,lq_emp_48-49,extracted_sections,stub,166,-0.0024201010968609715,0.010316687886168685
B,lq_emp_48-49,extracted_sections,thin,837,0.04791423609040224,0.006393149445418578
B,lq_emp_48-49,extracted_sections,mid,558,0.06383146371604931,0.002595738364750355
B,lq_emp_48-49,extracted_sections,rich,599,0.02634491687264018,0.005555983335901127
B,lq_emp_48-49,sections_x_tier,stub,166,-0.0024201010968609715,0.00033691233915567054
B,lq_emp_48-49,sections_x_tier,thin,837,0.04791423609040224,0.003238329031344911
B,lq_emp_48-49,sections_x_tier,mid,558,0.06383146371604931,-0.003731960237702947
B,lq_emp_48-49,sections_x_tier,rich,599,0.02634491687264018,0.0063523230021280686
B,lq_emp_48-49,pca50,stub,166,-0.0024201010968609715,0.0020693329803516125
B,lq_emp_48-49,pca50,thin,837,0.04791423609040224,0.0012013680755402767
B,lq_emp_48-49,pca50,mid,558,0.06383146371604931,-0.00022855309482261443
B,lq_emp_48-49,pca50,rich,599,0.02634491687264018,-0.0010258872724513424
B,lq_emp_48-49,full,stub,166,-0.0024201010968609715,0.003035356522959942
B,lq_emp_48-49,full,thin,837,0.04791423609040224,0.002080846545571058
B,lq_emp_48-49,full,mid,558,0.06383146371604931,-0.00037104763400630514
B,lq_emp_48-49,full,rich,599,0.02634491687264018,-0.0007414710193847096
B,lq_emp_51,length,stub,165,-0.1453953460358146,0.007992260811911844
B,lq_emp_51,length,thin,753,-0.0616509101551177,-0.002228701335159178
B,lq_emp_51,length,mid,487,-0.06656331565823481,0.000396115457022006
B,lq_emp_51,length,rich,509,0.1636602393606732,-0.013257834764600962
B,lq_emp_51,extracted_min,stub,165,-0.1453953460358146,-0.017793745329467647
B,lq_emp_51,extracted_min,thin,753,-0.0616509101551177,0.01331143281059255
B,lq_emp_51,extracted_min,mid,487,-0.06656331565823481,0.009798893534138209
B,lq_emp_51,extracted_min,rich,509,0.1636602393606732,0.007744177172575584
B,lq_emp_51,extracted_mid,stub,165,-0.1453953460358146,-0.015518293995951282
B,lq_emp_51,extracted_mid,thin,753,-0.0616509101551177,0.015758731137049065
B,lq_emp_51,extracted_mid,mid,487,-0.06656331565823481,0.0026318207452800113
B,lq_emp_51,extracted_mid,rich,509,0.1636602393606732,-0.0015886048222690796
B,lq_emp_51,extracted_full,stub,165,-0.1453953460358146,-0.005161920413674803
B,lq_emp_51,extracted_full,thin,753,-0.0616509101551177,0.011856534178717348
B,lq_emp_51,extracted_full,mid,487,-0.06656331565823481,-0.0002330264778835911
B,lq_emp_51,extracted_full,rich,509,0.1636602393606732,0.0013958637065699664
B,lq_emp_51,extracted_sections,stub,165,-0.1453953460358146,-4.546157098750392e-05
B,lq_emp_51,extracted_sections,thin,753,-0.0616509101551177,0.009280516419179374
B,lq_emp_51,extracted_sections,mid,487,-0.06656331565823481,0.002339241248878743
B,lq_emp_51,extracted_sections,rich,509,0.1636602393606732,-0.0009211645852933437
B,lq_emp_51,sections_x_tier,stub,165,-0.1453953460358146,0.00757560949361169
B,lq_emp_51,sections_x_tier,thin,753,-0.0616509101551177,0.007353202851380303
B,lq_emp_51,sections_x_tier,mid,487,-0.06656331565823481,0.005619000880972003
