county_name,fips_code,total_tons,mean_partner_hhi,tons_quartile,unemployment_velocity,gdp_velocity_pct
"Campbell County, South Dakota",46021,903.9834493999999,0.04564242284627223,1,0.3333333333333333,-0.20538328908837133
"Charles Mix County, South Dakota",46023,2097.2333346,0.04372351648650109,2,0.03333333333333336,0.02549033245235777
"Clark County, South Dakota",46025,1828.6228805,0.03511962854361111,1,-0.06666666666666658,0.010796722761148313
"Clay County, South Dakota",46027,3378.6357559,0.03257738305995611,2,0.06666666666666672,0.030923415577919236
"Codington County, South Dakota",46029,9562.3595731,0.028489216937915878,3,0.03333333333333336,0.012973361230014831
"Corson County, South Dakota",46031,1508.3448317000002,0.03786052904671218,1,0.3333333333333332,-0.025687846018711893
"Custer County, South Dakota",46033,2257.3595458,0.042510408272659575,2,-0.03333333333333336,0.053519889435317915
"Davison County, South Dakota",46035,7542.6226584999995,0.02753490505693362,3,0.0,0.027051055050117494
"Day County, South Dakota",46037,1559.3973319000002,0.03386245609980854,1,-0.1333333333333333,-0.009996125070791975
"Deuel County, South Dakota",46039,2587.9376851,0.03723155478941511,2,0.0,0.032918567290210685
"Dewey County, South Dakota",46041,815.1957547,0.043914062894510796,1,-0.06666666666666672,-0.0015406842839198152
"Douglas County, South Dakota",46043,958.4049560999999,0.04438944334539323,1,0.0,0.005014898237462755
"Edmunds County, South Dakota",46045,3506.3736977999997,0.02776333726214092,2,0.0,-0.19557459738017038
"Fall River County, South Dakota",46047,2189.8649213,0.04139267810635837,2,0.16666666666666666,0.06293176828487328
"Faulk County, South Dakota",46049,771.9228791,0.042594805864428216,1,-0.06666666666666665,-0.08270389623565912
"Grant County, South Dakota",46051,7281.4524966,0.031801465312436814,3,0.2333333333333334,0.06308705694790279
"Gregory County, South Dakota",46053,1014.8747998000001,0.04491267518970504,1,0.10000000000000002,0.02188087831823896
"Haakon County, South Dakota",46055,960.58958,0.042778372739323764,1,-0.1333333333333334,-0.055904841097612915
"Hamlin County, South Dakota",46057,1748.5233791,0.03606628405769208,1,-0.03333333333333329,0.032644945039112486
"Hand County, South Dakota",46059,1495.0477962,0.04132173653476305,1,0.0,0.01934535044670945
"Hanson County, South Dakota",46061,2098.7214132999998,0.03392906108725967,2,0.0,0.005305441867515538
